"Date","RegionID","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-08-31,52391,"Hammond","LA","Hammond","Tangipahoa",924,162100,-0.00184729064039409,0.00309405940594059,0.117931034482759,0.0330153131969455,,"2017-07","2017-Q3",162400,-0.00184729064039409,"2017-06"
2017-08-31,16785,"Apex","NC","Raleigh","Wake",925,319200,0.00156887354879197,0.010126582278481,0.0590577305905773,0.0574628606643679,0.0235150573981566,"2017-08","2017-Q3",319200,0,"2017-08"
2017-08-31,3869,"Buckeye","AZ","Phoenix","Maricopa",926,199300,0.00504286434694907,0.0178753830439224,0.0855119825708061,0.100088234274288,-0.0130164890930479,"2006-08","2006-Q3",251900,-0.208813021040095,"2005-05"
2017-08-31,32409,"Lakeville","MN","Minneapolis-St Paul","Dakota",927,342000,0.00558659217877095,0.0145357460694156,0.062111801242236,0.0618867046527725,0.00841789901742329,"2017-08","2017-Q3",342000,0,"2017-08"
2017-08-31,20164,"Richland","WA","Kennewick","Benton",928,296900,0.00609962724500169,0.0244996549344375,0.0726156069364162,0.0923475874577209,0.05380227711548,"2017-08","2017-Q3",296900,0,"2017-08"
2017-08-31,6892,"Saint Louis Park","MN","Minneapolis-St Paul","Hennepin",929,259400,0.00231839258114374,0.00816167897396036,0.0710156895127993,0.0608098400689912,0.0117943215864751,"2017-08","2017-Q3",259400,0,"2017-08"
2017-08-31,41533,"Wahiawa","HI","Urban Honolulu","Honolulu",930,585100,-0.00187649266461958,0,0.0765409383624655,0.0711157374925588,0.0235490677801187,"2017-06","2017-Q2",587400,-0.00391556009533538,"2017-05"
2017-08-31,20245,"Roseville","MI","Detroit","Macomb",931,87500,0.00574712643678161,0.022196261682243,0.114649681528662,0.140727654465849,-0.0225354040979734,"2005-08","2005-Q3",125600,-0.303343949044586,"1998-01"
2017-08-31,5239,"Huntersville","NC","Charlotte","Mecklenburg",932,272200,0.00220913107511046,0.00852167469433123,0.0493446414803392,0.0546655574667663,0.0138584931351347,"2017-08","2017-Q3",272200,0,"2017-08"
2017-08-31,46500,"Menifee","CA","Riverside","Riverside",933,360400,0.00501952035694367,0.0206740300198244,0.0461538461538462,0.109668002283719,-0.00632272957475122,"2006-08","2006-Q3",431000,-0.163805104408353,"2004-07"
2017-08-31,24117,"Cleveland Heights","OH","Cleveland","Cuyahoga",934,114100,0.00440140845070423,0.0224014336917563,0.0693533270852859,0.023276353500842,-0.0181959506673529,"2006-03","2006-Q1",140800,-0.189630681818182,"2000-12"
2017-08-31,47830,"Starkville","MS","Starkville","Oktibbeha",935,185100,0.00162337662337662,0.00597826086956522,0.0793002915451895,0.0317752378298037,,"2017-08","2017-Q3",185100,0,"2017-08"
2017-08-31,30785,"Castro Valley","CA","San Francisco","Alameda",936,793500,0.00570342205323194,0.011472275334608,0.0672494956287828,0.115116041368434,0.0209523083788361,"2017-08","2017-Q3",793500,0,"2017-08"
2017-08-31,37086,"Aliso Viejo","CA","Los Angeles-Long Beach-Anaheim","Orange",937,601200,0.00737265415549598,0.016914749661705,0.0636942675159236,0.0857207280283716,0.00603382229465921,"2006-04","2006-Q2",624800,-0.0377720870678617,"2005-09"
2017-08-31,50450,"Olive Branch","MS","Memphis","DeSoto",938,167100,0.0023995200959808,0.0133414190418435,0.0411214953271028,0.027646589307736,,"2017-08","2017-Q3",167100,0,"2017-08"
2017-08-31,47071,"Perth Amboy","NJ","New York","Middlesex",939,253100,0.00796495420151334,0.0205645161290323,0.0900086132644272,0.0480104530505585,-0.0205474315995062,"2007-01","2007-Q1",324900,-0.22099107417667,"2004-08"
2017-08-31,29898,"Delaware","OH","Columbus","Delaware",940,208600,0.0270802560315116,0.0530035335689046,0.0853277835587929,0.0564696068084121,0.0221860488827912,"2017-03","2017-Q1",209100,-0.00239120038259206,"2017-03"
2017-08-31,29143,"Lincoln","CA","Sacramento","Placer",941,435500,0.00530932594644506,0.0149149382428338,0.0871193210184723,0.100090521401875,0.00831263735252352,"2006-01","2006-Q1",465300,-0.0640447023425747,"2005-04"
